Watched Date,Name,Year,Letterboxd URI,Runtime (minutes),Rating,Rewatch,Average Rating,Director,Cast 1,Cast 2,Cast 3,Genre 1,Genre 2
15/06/2021,mother!,2017,https://boxd.it/1VKysh,121,4,No,3.5,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,Horror,Mystery
16/06/2021,The Florida Project,2017,https://boxd.it/1VRf79,112,3.5,No,4.1,Sean Baker,Willem Dafoe,Brooklynn Prince,Bria Vinaite,Drama,
22/06/2021,Do the Right Thing,1989,https://boxd.it/1WCEMl,120,3.5,No,4.3,Spike Lee,Danny Aiello,Ossie David,Ruby Dee,Drama,
26/06/2021,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1XCRFL,103,3.5,No,3.8,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Drama,
10/07/2021,Call Me by Your Name,2017,https://boxd.it/1Z7ap7,132,3,No,4,Luca Guadagnino,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,Drama,Romance
14/07/2021,A Quiet Place Part II,2020,https://boxd.it/1ZHiSj,97,3.5,No,3.6,John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Thriller,Horror
05/08/2021,The Suicide Squad,2021,https://boxd.it/24w85J,132,3.5,No,3.7,James Gunn,Margot Robbie,Idris Elba,John Cena,Action,Comedy
15/08/2021,Memories of Murder,2003,https://boxd.it/24reyd,131,4,No,4.3,Bong Joon-ho,Song Kang-ho,Kim Sang-kyung,Kim Roi-ha,Crime,Thriller
16/08/2021,Nomadland,2020,https://boxd.it/24Ab7L,108,3.5,No,3.9,Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Drama,Western
17/08/2021,Philadelphia,1993,https://boxd.it/24GUbP,126,4,No,3.8,Jonathan Demme,Tom Hanks,Denzel Washington,Jason Robards,Drama,
17/08/2021,Molly's Game,2017,https://boxd.it/24JsO1,140,4,No,3.5,Aaron Sorkin,Jessica Chastain,Idris Elba,Kevin Costner,Crime,Drama
19/08/2021,The Last Black Man in San Francisco,2019,https://boxd.it/250uWF,121,4,No,4.1,Joe Talbot,Jimmie Fails,Jonathan Majors,Tichina Arnold,Drama,
30/08/2021,Minari,2020,https://boxd.it/26A8pb,115,4.5,No,4.1,Lee Isaac Chung,Steven Yeun,Han Yeri,Youn Yuh-jung,Drama,
01/09/2021,People Just Do Nothing: Big in Japan,2021,https://boxd.it/26Qtk9,97,3.5,No,3.5,Jack Clough,Asim Chaudhry,Allan Mustafa,Hugo Chegwin,Comedy,
02/09/2021,Bo Burnham: Inside,2021,https://boxd.it/26YXTJ,87,2.5,No,4.3,Bo Burnham,Bo Burnham,,,Comedy,
23/09/2021,The Guard,2011,https://boxd.it/29Q195,96,3.5,Yes,3.6,John Michael McDonagh,Brendan Gleeson,Don Cheadle,Liam Cunningham,Crime,Comedy
03/10/2021,Prisoners,2013,https://boxd.it/2bgeMv,153,4,Yes,4.2,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Maria Bello,Drama,Thriller
04/10/2021,The Green Knight,2021,https://boxd.it/2bqeRv,130,3.5,No,3.8,David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton,Adventure,Fantasy
09/10/2021,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/2c80lj,108,4.5,No,4.2,Michael Gondry,Jim Carrey,Kate Winslet,Kirsten Dunst,Romance,Science-Fiction
12/10/2021,Carlito's Way,1993,https://boxd.it/2cuqU9,144,3.5,No,3.9,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,Crime,Drama
15/10/2021,Measure of a Man,2018,https://boxd.it/2d3ThP,100,3,No,3,Jim Loach,Blake Cooper,Donald Sutherland,Luke Wilson,Drama,Comedy
18/10/2021,High Life,2018,https://boxd.it/2dzVCT,113,4,No,3.3,Claire Denis,Robert Pattinson,Juliette Binoche,André Benjamin,Science-Fiction,Thriller
20/10/2021,Venom: Let There Be Carnage,2021,https://boxd.it/2dQyZ5,97,2.5,No,2.9,Andy Serkis,Tom Hardy,Woody Harrelson,Michelle Williams,Action,Science-Fiction
21/10/2021,No Time to Die,2021,https://boxd.it/2dXTVx,163,3.5,No,3.6,Cary Joji Fukunaga,Daniel Craig,Léa Seydoux,Rami Malek,Adventure,Action
25/10/2021,Incendies,2010,https://boxd.it/2eEPYt,131,5,No,4.3,Denis Villeneuve,Lubna Azabel,Mélissa Désormeaux-Poulin,Maxim Gaudette,Drama,Mystery
26/10/2021,The Many Saints of Newark,2021,https://boxd.it/2eOyC1,120,3.5,No,3,Alan Taylor,Allesandro Nivola,Michael Gandolfini,Leslie Odom Jr.,Drama,Crime
27/10/2021,Dune,2021,https://boxd.it/2eWgtL,155,4,No,4.1,Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson,Oscar Isaac,Science-Fiction,Action
02/11/2021,Shame,2011,https://boxd.it/2fZzov,102,3.5,No,3.8,Steve McQueen,Michael Fassbender,Carey Mulligan,James Badge Dale,Drama,
05/11/2021,Honey Boy,2019,https://boxd.it/2gpKlT,94,4,No,3.8,Alma Har'el,Shia LaBeouf,Lucas Hedges,Noah Lupe,Drama,
07/11/2021,Free Guy,2021,https://boxd.it/2gLpcv,115,2.5,No,3.2,Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rey Howery,Comedy,Adventure
10/11/2021,The Farewell,2019,https://boxd.it/2h3bYB,100,3.5,No,4.1,Lulu Wang,Awkwafina,Tzi Ma,Diana Lin,Drama,Comedy
19/11/2021,The Handmaiden,2016,https://boxd.it/2iswlJ,145,3,No,4.4,Park Chan-wook,Kim Min-hee,Kim Tae-ri,Ha Jung-woo,Romance,Thriller
21/11/2021,Gravity,2013,https://boxd.it/2iKwMV,91,3.5,No,3.5,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Science-Fiction,Thriller
24/11/2021,Gone Baby Gone,2007,https://boxd.it/2jdKAR,113,3,No,3.7,Ben Affleck,Casey Affleck,Michelle Monaghan,Morgan Freeman,Crime,Drama
